Temperatura,TDS,Turbidez,PH,Clase,,Condición,Clase
23.81,79.04,5.6,6.82,0,,Agua Embotellada,0
23.81,79.04,0.25,6.82,0,,Agua con Detergente,1
23.81,79.04,4,6.82,0,,Agua de la Llave,2
23.81,79.06,4,6.82,0,,,
23.81,79.11,3.75,6.82,0,,,
23.81,79.03,3.65,6.82,0,,,
23.81,78.98,3.7,6.82,0,,,
23.81,79.35,3.8,6.82,0,,,
23.81,79.35,4.95,6.82,0,,,
23.81,79.35,3.7,6.82,0,,,
23.81,79.35,4,6.82,0,,,
23.81,79.35,3.8,6.82,0,,,
23.81,79.35,3.7,6.82,0,,,
23.81,79.5,3.9,6.82,0,,,
23.81,79.83,3.45,6.82,0,,,
23.81,80.88,3.95,6.82,0,,,
23.75,83.03,3.75,6.82,0,,,
23.81,83.03,5.6,6.82,0,,,
23.81,83.02,3.95,6.82,0,,,
23.81,83.01,3.45,6.82,0,,,
23.81,82.32,3.85,6.82,0,,,
23.81,82.34,3.95,6.82,0,,,
23.81,82.33,3.7,6.82,0,,,
23.81,82.83,3.9,6.82,0,,,
23.81,82.94,4.95,6.82,0,,,
23.81,82.25,3.8,6.82,0,,,
23.81,82.19,3.7,6.82,0,,,
23.81,82.34,3.75,6.82,0,,,
23.81,82.28,4,6.82,0,,,
23.81,82.28,3.85,6.82,0,,,
23.81,82.31,2.45,6.83,0,,,
23.75,82.76,3.75,6.83,0,,,
23.81,83.13,5.6,6.83,0,,,
23.81,83.09,3.45,6.83,0,,,
23.81,82.21,4,6.83,0,,,
23.81,82.23,6.45,6.83,0,,,
23.75,82.31,3.65,6.83,0,,,
23.75,81.9,4,6.83,0,,,
23.81,81.9,3.7,6.83,0,,,
23.81,81.92,3.9,6.83,0,,,
23.81,82.18,3.75,6.83,0,,,
23.81,82.37,0.8,6.83,0,,,
23.81,82.32,2.4,6.83,0,,,
23.81,82.35,4,6.83,0,,,
23.81,82.36,3.85,6.83,0,,,
23.81,81.44,3.95,6.83,0,,,
23.87,79.31,4,6.83,0,,,
23.81,79.33,3.55,6.84,0,,,
23.81,79.35,2.95,6.84,0,,,
23.81,79.35,3.9,6.84,0,,,
23.81,79.23,4,6.84,0,,,
23.87,79.19,3.5,6.84,0,,,
23.87,79.2,3.85,6.84,0,,,
23.87,78.78,4,6.84,0,,,
23.87,78.67,4.1,6.83,0,,,
23.81,79.51,3.55,6.83,0,,,
23.81,79.97,3.7,6.83,0,,,
23.81,80.92,5.75,6.83,0,,,
23.81,80.99,3.55,6.83,0,,,
23.81,80.92,3.95,6.83,0,,,
23.81,80.92,3.95,6.83,0,,,
23.87,80.47,4,6.83,0,,,
23.81,80.16,3.85,6.83,0,,,
